Months,Post URL,Date,Remarks
January,https://www.linkedin.com/posts/krishnaprakash123_kalpataru-sanatanadharma-vasudhaivakutumbakam-activity-7147423185318068224-Rg5q?utm_source=share&utm_medium=member_desktop,"Mon, 01 Jan 2024",Celebrating Kalpataru Day: Honoring Sri Ramakrishna's legacy and renewing our commitment to spiritual growth and global unity.
January,https://www.linkedin.com/posts/krishnaprakash123_chennai-floods-sanskrit-college-today-activity-7149039312716652544-g2_R?utm_source=share&utm_medium=member_desktop,"Fri, 05 Jan 2024",Reposted this post from Ravindran Krishnan. Chennai floods and  Sanskrit College.
January,https://www.linkedin.com/posts/krishnaprakash123_check-out-this-job-at-vedanta-wisdom-trust-activity-7150111297810968577-XTMP?utm_source=share&utm_medium=member_desktop,"Mon, 08 Jan 2024",Shared job at Vedanta Wisdom Trust: Project Manager-NGO
January,https://www.linkedin.com/posts/krishnaprakash123_dharma-vasudhaivakutumbakam-rama-activity-7150164971400699906--wpL?utm_source=share&utm_medium=member_desktop,"Mon, 08 Jan 2024",A simple and heartfelt conversation about the importance of Dharma and living a meaningful life took place in a village. This conversation was sparked by a traditional event and highlights the need to reconnect with our spiritual heritage.
January,https://www.linkedin.com/posts/varuldevpfc_how-do-we-practice-life-are-we-aware-that-ugcPost-7150710528410009601-Y70U?utm_source=share&utm_medium=member_desktop,"Wed, 10 Jan 2024","Reposted this post from Arul Dev. Answering the question ""How do we practice life?""."
January,https://www.linkedin.com/posts/kalyangullapalli_rediscoveringbharat-ugcPost-7150745040376467456-H1TH?utm_source=share&utm_medium=member_desktop,"Wed, 10 Jan 2024",Reposted this post from Kalyan Gullapalli. Odisha's maritime prowess: A forgotten chapter of India's history.
January,https://www.linkedin.com/posts/krishnaprakash123_9-subjects-that-should-be-taught-in-every-activity-7151032445197258752-YQL7?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024",Reposted a post from Marcus Frick. 9 subjects that should be taught in every classroom.
January,https://www.linkedin.com/posts/krishnaprakash123_linkedin-indicwisdom-goals-activity-7151037404634603521-bn0b?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024",Shrimath Yoga's year-end retreat brought together diverse leaders for self-discovery. The program's success has led to the announcement of the next batch.
January,https://www.linkedin.com/posts/prof-krishnamurthy-v-subramanian-220b1068_in-charts-how-india-has-changed-under-narendra-activity-7150669012169879552-Kp8K?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024","Reposted this from Prof. Krishnamurthy V Subramanian. Engineer-turned-economist praises India's tech-driven welfare delivery, highlighting Aadhaar's role in reducing leakages."
January,https://www.linkedin.com/posts/krishnaprakash123_newyear2024-activity-7151140289301086208-8lyv?utm_source=share&utm_medium=member_desktop,"Thu, 11 Jan 2024","A father-daughter dialogue unravels the power of the mind, drawing parallels between Hanuman Ji's wisdom and modern-day life. The importance of mindfulness and a childlike approach to life is emphasized."
